Year,Month,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate,total_jobs,unemp_rate,labor_force_part_rate,pipeline_unit,pipeline_total_dev_cost,pipeline_sqft,pipeline_const_jobs,foreclosure_pet,foreclosure_deeds,med_housing_price,housing_sales_vol,new_housing_const_permits,new-affordable_housing_permits
2014,10,2799342,3356,0.888,288.5,341224,0.048,0.642,195,151750000,938949,636,37,6,450000,1651,273,14
2014,11,2422024,3055,0.797,249.72,342700,0.047,0.644,298,137000000,508296,324,36,10,460500,420,629,69
2014,12,2420784,3179,0.62,180.79,341626,0.044,0.64,178,79500000,334061,309,40,6,478000,524,87,84
2015,1,2108046,3009,0.652,174.51,341410,0.05,0.632,34,55100000,312139,125,28,10,475000,369,734,232
2015,2,1941426,2602,0.668,180.2,343127,0.046,0.633,660,290558889,1099890,455,48,12,465000,333,144,48
2015,3,2704714,3254,0.841,228.31,344283,0.043,0.633,139,131350000,368982,489,40,6,465000,448,309,64
2015,4,2833871,3527,0.831,218.1,345110,0.041,0.633,451,479150000,1090940,1014,44,4,480000,512,87,7
2015,5,3017234,3751,0.881,287,344024,0.046,0.634,134,346800000,602845,457,23,9,517750,670,897,100
2015,6,3105133,3945,0.902,287.2,347691,0.05,0.644,45,95916000,151220,261,41,11,503500,0,469,0
2015,7,3349845,4153,0.921,276.2,348817,0.049,0.645,696,515609497,1534009,999,44,12,510000,0,270,4
2015,8,3324880,4141,0.905,264.2,349467,0.044,0.643,491,563790044,1124232,818,36,6,0,0,266,54
2015,9,2830912,3671,0.89,291.63,344477,0.044,0.634,388,228250000,589515,112,63,15,0,0,561,35
2015,10,3043178,3707,0.899,307.9,348670,0.04,0.639,640,186250000,884430,445,56,17,0,0,460,50
2015,11,2645260,3291,0.783,248.5,350459,0.039,0.642,31,374700000,830290,551,34,12,0,0,0,0
2015,12,2545081,3603,0.629,187.12,350010,0.037,0.639,112,244100000,317498,377,69,10,0,0,0,0
2016,1,2342969,3473,0.63,178.59,347435,0.041,0.632,1068,941500000,2600424,1653,0,0,0,0,0,0
2016,2,2297530,3189,0.659,178.9,349549,0.038,0.633,816,722100000,1260337,1530,0,0,0,0,0,0
2016,3,2878649,3920,0.793,223.2,350579,0.037,0.633,568,252500000,619846,523,0,0,0,0,0,0
2016,4,2987158,4337,0.873,239.9,351084,0.034,0.633,691,1276195714,1259206,1646,0,0,0,0,0,0
2016,5,3245967,4501,0.845,281.3,350487,0.035,0.634,1874,1213268429,2816183,2085,0,0,0,0,0,0
2016,6,3406989,4701,0.906,286,354048,0.04,0.644,105,250000000,562420,376,0,0,0,0,0,0
2016,7,3563829,4871,0.917,266.7,355265,0.038,0.645,462,594000000,1049400,867,0,0,0,0,0,0
2016,8,3555757,4824,0.909,265.6,355898,0.033,0.643,1397,937700000,1931147,1405,0,0,0,0,0,0
2016,9,3091550,4349,0.896,303.3,351598,0.032,0.634,313,211000000,552588,413,0,0,0,0,0,0
2016,10,3198834,4102,0.883,304.63,354975,0.027,0.639,136,90200000,248762,158,0,0,0,0,0,0
2016,11,2921196,3705,0.788,250.84,356974,0.026,0.642,522,337476216,947319,670,0,0,0,0,0,0
2016,12,2797614,4067,0.644,183.95,356728,0.025,0.639,407,1042246069,1126057,923,0,0,0,0,0,0
2017,1,2603998,4004,0.618,171.67,355449,0.034,0.639,250,101000000,279052,209,0,0,0,0,0,0
2017,2,2369960,3557,0.672,173.41,358403,0.034,0.645,0,0,0,0,0,0,0,0,0,0
2017,3,3076023,4177,0.806,226.52,362917,0.032,0.652,1803,1125200000,3425017,3297,0,0,0,0,0,0
2017,4,3271833,4534,0.886,288.55,364559,0.034,0.654,48,86600000,259396,134,0,0,0,0,0,0
2017,5,3465345,4592,0.893,302.6,361996,0.039,0.654,414,244657072,680141,448,0,0,0,0,0,0
2017,6,3552952,4718,0.919,289.65,364609,0.043,0.662,306,392350000,755357,563,0,0,0,0,0,0
2017,7,3683573,5046,0.904,277.12,365271,0.042,0.663,161,105000000,247543,178,0,0,0,0,0,0
2017,8,3757903,4976,0.895,268.55,364706,0.036,0.657,-54,6000000,23984,16,0,0,0,0,0,0
2017,9,3178011,4400,0.889,291.44,360216,0.034,0.648,185,51450000,221624,159,0,0,0,0,0,0
2017,10,3431263,4167,0.912,316.77,359860,0.031,0.645,101,363258647,649593,667,0,0,0,0,0,0
2017,11,3089200,3879,0.814,243.66,360193,0.03,0.645,2026,2351744282,4261593,3290,0,0,0,0,0,0
2017,12,2930898,4134,0.649,177.63,362346,0.027,0.647,526,486000000,1388747,1198,0,0,0,0,0,0
2018,1,2576261,3864,0.638,170.11,361240,0.033,0.626,19,58500000,119138,88,0,0,0,0,0,0
2018,2,2605207,3664,0.679,168.98,366154,0.032,0.634,1000,1067801439,2241451,1388,0,0,0,0,0,0
2018,3,3197326,4257,0.828,229.05,369308,0.031,0.639,187,703900000,1271723,639,0,0,0,0,0,0
2018,4,3508607,4516,0.864,282.19,373932,0.028,0.645,38,136000000,732350,574,0,0,0,0,0,0
2018,5,3705129,4763,0.882,298.36,376517,0.031,0.651,1171,1587000000,2766224,1200,0,0,0,0,0,0
2018,6,3843131,4817,0.917,301.32,380575,0.039,0.663,252,650969937,982213,715,0,0,0,0,0,0
2018,7,3999933,5095,0.911,277.07,384241,0.038,0.67,870,507000000,785139,711,0,0,0,0,0,0
2018,8,4044126,5054,0.921,279.13,383347,0.034,0.665,223,1617753139,1823627,1537,0,0,0,0,0,0
2018,9,3393644,4742,0.918,306.75,379748,0.03,0.656,257,55000000,274359,167,0,0,0,0,0,0
2018,10,3677923,4517,0.917,337.92,382442,0.027,0.659,193,396076930,636955,628,0,0,0,0,0,0
2018,11,3296694,3986,0.804,257.62,383224,0.024,0.658,135,78015752.39,430071,266,0,0,0,0,0,0
2018,12,3093944,4404,0.655,179.4,383962,0.023,0.664,60,21700000,63225,47,0,0,0,0,0,0
2019,1,2710036,4039,0.629,170.22,385880,0.03,0.667,550,372200000,571094,590,0,0,0,0,0,0
2019,2,2716724,3667,0.725,175.29,387709,0.025,0.667,472,179055177,567945,463,0,0,0,0,0,0
2019,3,3457362,4523,0.812,225.1,388432,0.025,0.668,677,480250000,1323438,1040,0,0,0,0,0,0
2019,4,3647276,4847,0.877,287.72,387742,0.022,0.665,35,43000000,110002,100,0,0,0,0,0,0
2019,5,3879343,4907,0.878,312.01,386895,0.029,0.668,38,143300000,259679,290,0,0,0,0,0,0
2019,6,3946406,4955,0.898,314.97,390540,0.031,0.675,324,224135602,571159,468,0,0,0,0,0,0
2019,7,4072082,5260,0.9,285.02,390678,0.028,0.674,459,789118461,1604849,1074,0,0,0,0,0,0
2019,8,4120937,5190,0.888,270.54,392536,0.027,0.676,176,882120000,1144908,931,0,0,0,0,0,0
2019,9,3547546,4586,0.895,312.37,385445,0.028,0.665,286,91032000,416015,307,0,0,0,0,0,0
2019,10,3771212,4388,0.907,313.17,390983,0.023,0.671,393,968000000,1261737,972,0,0,0,0,0,0
2019,11,3264105,3959,0.803,238.82,391531,0.021,0.67,480,324300000,688168,539,0,0,0,0,0,0
2019,12,3389382,4155,0.717,183.2,392118,0.02,0.67,1044,1106200000,1697970,1645,0,0,0,0,0,0
